evaluations raw_y
1 0.9405568096
2 1.4723203769
8 1.5605493134
18 2.4752475248
720 2.6427061311
826 2.9976019185
2601 3.0562347188
4372 3.1806615776
4421 3.2467532468
5000 2.1663778163
evaluations raw_y
1 0.4005126562
2 1.6960651289
14 1.8796992481
29 1.9260400616
38 2.0000000000
108 2.1079258010
369 2.7352297593
3995 2.8344671202
4670 2.9411764706
4790 2.9976019185
5000 1.3812154696
evaluations raw_y
1 1.3812154696
17 1.7146776406
76 1.8355359765
115 1.9747235387
151 2.1079258010
803 2.6427061311
3717 2.6881720430
5000 1.1150758252
evaluations raw_y
1 1.3691128149
5 1.6087516088
11 1.7337031900
20 1.8142235123
62 1.8355359765
81 2.0798668885
167 2.1663778163
339 2.4366471735
663 2.5150905433
664 2.6881720430
3729 2.7839643653
5000 1.1071744907
evaluations raw_y
1 0.8973438622
2 1.0407993339
3 1.4060742407
8 1.7337031900
25 1.9025875190
262 2.3277467412
291 2.5562372188
2266 2.5987525988
2605 2.6427061311
2644 3.1172069825
3417 3.1806615776
4370 3.2467532468
5000 2.2603978300
evaluations raw_y
1 1.1825922422
5 2.0798668885
24 2.1968365554
138 3.0562347188
1666 3.7091988131
5000 2.2935779817
evaluations raw_y
1 0.6561679790
2 0.9944311854
4 1.6960651289
6 1.9025875190
7 2.4752475248
495 2.6427061311
938 3.1172069825
5000 2.2281639929
evaluations raw_y
1 1.1825922422
3 1.4060742407
4 1.4318442153
20 1.7337031900
55 1.8573551263
112 2.0525451560
246 2.1663778163
417 2.2603978300
571 2.3992322457
786 3.4626038781
1523 3.7091988131
5000 1.0620220901
evaluations raw_y
1 1.1916110582
3 1.3340448239
4 1.3935340022
14 1.7934002869
22 1.8796992481
26 1.9747235387
235 2.0798668885
390 2.1079258010
552 2.1367521368
566 2.2281639929
722 2.2935779817
993 3.1172069825
5000 1.6425755585
evaluations raw_y
1 1.1563367253
2 1.4863258026
6 1.8573551263
42 2.0798668885
68 2.1663778163
377 3.1172069825
777 3.3875338753
1356 3.6231884058
2421 4.0983606557
5000 3.5410764873
evaluations raw_y
1 1.3455328310
3 1.6600265604
12 2.4752475248
758 2.5562372188
1961 2.7352297593
2067 2.8344671202
3351 3.3156498674
3593 3.6231884058
3728 3.7993920973
4367 3.8940809969
5000 2.3992322457
evaluations raw_y
1 0.8394895903
2 1.9260400616
22 2.2935779817
1088 2.3629489603
1891 2.5562372188
3012 2.6881720430
3882 2.8868360277
4229 3.3156498674
5000 1.4723203769
evaluations raw_y
1 0.6789788159
2 1.5006002401
4 1.9500780031
115 2.0259319287
192 2.0525451560
245 2.1968365554
414 2.2935779817
518 2.5562372188
1493 2.7839643653
1718 3.1172069825
4065 3.3875338753
5000 2.0259319287
evaluations raw_y
1 0.9758001561
3 1.4318442153
4 1.4723203769
13 1.5299877601
29 1.8573551263
89 1.9260400616
166 2.2935779817
390 2.6427061311
530 2.8344671202
1460 2.9411764706
2620 3.1806615776
5000 1.1825922422
evaluations raw_y
1 1.8573551263
98 2.2603978300
405 2.3992322457
823 2.4366471735
878 2.5987525988
1937 2.8868360277
4840 2.9976019185
5000 1.2487512488
evaluations raw_y
1 1.0072522160
2 1.0917030568
3 1.2487512488
4 1.9260400616
44 1.9500780031
137 2.2935779817
171 2.3277467412
715 2.7839643653
1946 2.9411764706
3442 3.0562347188
5000 1.1312217195
evaluations raw_y
1 1.2588116818
3 1.6600265604
6 1.9025875190
15 2.0525451560
239 2.3277467412
862 2.3629489603
974 2.5150905433
2171 2.6881720430
2695 3.3875338753
5000 1.1071744907
evaluations raw_y
1 1.3227513228
7 1.5451174289
28 1.6087516088
37 1.7934002869
41 2.0525451560
291 2.1367521368
462 2.2603978300
723 2.5150905433
740 2.5562372188
1163 2.8344671202
2403 2.8868360277
3520 2.9976019185
4330 3.0562347188
4416 3.1172069825
5000 1.2007684918
evaluations raw_y
1 0.8973438622
2 1.4450867052
3 1.4585764294
9 2.0798668885
253 2.5562372188
359 2.8344671202
3225 2.9411764706
5000 1.4863258026
evaluations raw_y
1 1.2100677638
3 1.7531556802
28 1.8573551263
50 2.0798668885
176 2.2281639929
994 2.2603978300
1062 2.5562372188
1710 2.5987525988
3056 2.8868360277
4618 2.9411764706
4805 2.9976019185
5000 1.5451174289
