evaluations raw_y
4870 4.0000000000
5000 -29.0000000000
evaluations raw_y
1 -376.0000000000
3 -294.0000000000
18 -141.0000000000
242 -114.0000000000
428 -101.0000000000
468 -95.0000000000
591 -88.0000000000
623 -61.0000000000
862 -42.0000000000
945 -10.0000000000
1160 -9.0000000000
1937 -8.0000000000
2300 -3.0000000000
3504 4.0000000000
5000 -75.0000000000
evaluations raw_y
1 -396.0000000000
2 -336.0000000000
3 -282.0000000000
30 -274.0000000000
65 -269.0000000000
106 -168.0000000000
273 -148.0000000000
391 -142.0000000000
455 -141.0000000000
510 -107.0000000000
692 -101.0000000000
743 -94.0000000000
1020 -88.0000000000
1027 -48.0000000000
1310 -41.0000000000
1314 -35.0000000000
1456 -23.0000000000
1550 -22.0000000000
2116 -16.0000000000
2204 -15.0000000000
2384 -11.0000000000
3224 -3.0000000000
3717 3.0000000000
4716 4.0000000000
5000 -30.0000000000
evaluations raw_y
1 -517.0000000000
3 -289.0000000000
28 -269.0000000000
83 -248.0000000000
90 -161.0000000000
159 -127.0000000000
378 -114.0000000000
729 -74.0000000000
1078 -61.0000000000
1376 -47.0000000000
1439 -41.0000000000
1779 -21.0000000000
2225 -15.0000000000
2368 -10.0000000000
2524 2.0000000000
3845 3.0000000000
4318 4.0000000000
5000 -23.0000000000
